Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Age,Time_Customer
Graduation,Together,22070,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,55,11.59503617459633
Graduation,Married,29315,1,1,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,65,11.091261285310445
Graduation,Single,60714,0,0,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,69,12.306891996413341
Graduation,Married,30631,1,0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,51,11.825020363183365
Master,Together,55951,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,73,12.709364326440653
Graduation,Together,23976,1,0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,41,11.365051986009295
Graduation,Married,30675,1,0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,53,12.487593858874583
Graduation,Together,83003,0,0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,60,12.183686181098858
PhD,Together,83532,0,0,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,126,11.616939430652238
Graduation,Divorced,41411,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,39,11.419810126149065
Graduation,Married,72099,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,51,12.531400370986399
Graduation,Single,38643,1,1,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,47,11.441713382204973
Graduation,Married,50737,0,1,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,70,11.994770597616652
Master,Married,65073,0,0,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,82,11.718241989910812
Graduation,Married,48178,1,1,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,50,12.52866246397941
Master,Single,46098,1,1,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,50,12.723053861475595
Graduation,Together,63381,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,65,12.591634325140147
2n Cycle,Together,14515,1,0,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,45,12.49580757989555
PhD,Single,27213,1,0,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,0,53,12.690198977391733
Graduation,Together,80134,0,0,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,31,11.230894542666858
Master,Married,82584,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,51,11.929060829448927
Graduation,Married,75433,1,0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,36,11.093999192317433
2n Cycle,Together,10404,1,0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,36,11.014599889114766
PhD,Married,32011,1,0,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,54,11.712766175896835
Graduation,Married,28691,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,36,11.846923619239272
Graduation,Married,65991,0,1,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,49,12.668295721335825
Master,Married,42207,1,0,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,41,12.104286877896191
Graduation,Married,50300,0,1,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,73,10.957103841968008
Graduation,Widow,31880,1,0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,55,12.520448742958445
Graduation,Married,61456,0,1,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,50,12.117976412931135
PhD,Single,41644,1,1,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,53,11.000910354079824
PhD,Together,78642,0,1,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,54,12.049528737756422
Master,Together,47352,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,74,12.076907807826307
Graduation,Widow,85620,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,61,11.33493500893242
Graduation,Single,47691,0,1,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,46,11.844185712232283
PhD,Married,38443,1,1,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,57,11.280176868792651
PhD,Together,64413,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,55,11.770262223043595
Graduation,Together,24221,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,66,11.718241989910812
Master,Married,92163,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,50,12.405456648664929
Master,Together,49618,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,59,12.282250833350446
Basic,Married,30801,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,50,12.534138277993389
PhD,Together,162397,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,49,11.931798736455915
PhD,Married,54456,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,64,11.827758270190353
PhD,Divorced,34487,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,48,12.671033628342814
Master,Divorced,63120,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,75,12.610799674189066
PhD,Married,46463,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,54,11.72371780392479
Graduation,Together,29103,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,40,12.698412698412698
Graduation,Divorced,68743,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,58,12.690198977391733
Graduation,Divorced,71022,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,47,11.239108263687823
Master,Single,55250,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,60,12.54782781302833
Graduation,Single,71163,0,0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,30,11.167922681506123
2n Cycle,Married,35523,1,0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,44,11.597774081603319
Graduation,Married,74985,0,0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,48,12.65734409330787
2n Cycle,Married,46891,0,1,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,60,11.685387105826951
PhD,Married,78939,0,0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,0,0,0,0,74,11.406120591114123
Graduation,Married,33622,1,1,22,39,1,22,3,4,12,3,2,0,4,7,0,0,0,0,0,0,53,12.07143199381233
Graduation,Single,72258,0,1,28,522,0,522,227,120,134,2,6,9,5,2,0,0,0,0,0,0,54,11.655270128750077
Graduation,Single,20587,1,0,39,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,55,10.995434540065848
Graduation,Married,35441,1,1,94,25,1,9,2,1,1,2,1,0,3,8,0,0,0,0,0,0,58,12.230230600217663
Graduation,Married,71391,0,1,50,336,123,274,46,123,141,5,6,5,12,3,0,0,0,0,0,0,69,12.112500598917158
Graduation,Single,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,37,10.992696633058857
2n Cycle,Single,61618,0,0,27,605,91,399,0,45,205,2,3,6,8,3,0,0,0,0,0,0,34,12.608061767182077
2n Cycle,Married,82347,0,0,38,556,54,845,202,133,63,1,7,7,10,3,1,0,0,1,0,0,68,12.504021300916515
PhD,Together,30843,1,1,43,24,0,2,0,0,9,2,1,1,2,5,1,0,0,0,0,0,59,10.95436593496102
2n Cycle,Married,85710,0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,36,12.011198039658582
Graduation,Single,62450,0,1,61,515,47,267,62,66,38,2,5,5,4,3,0,1,0,0,0,0,66,11.337672915939411
Master,Single,86424,0,0,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,69,11.093999192317433
2n Cycle,Married,51111,1,1,83,22,0,19,6,5,3,2,2,0,3,6,0,0,0,0,0,0,44,10.888656166793295
PhD,Married,84169,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,43,11.753834781001663
2n Cycle,Single,64831,1,1,51,480,86,249,75,86,144,8,6,3,5,6,0,0,0,0,0,0,73,11.912633387406997
Graduation,Divorced,68274,1,1,83,135,25,51,23,25,46,2,4,2,5,3,0,0,0,0,0,0,46,11.605987802624284
Graduation,Married,59754,0,1,96,115,27,44,4,146,139,3,5,2,6,5,0,0,0,0,0,0,60,12.435573625741801
Graduation,Married,59041,1,1,25,69,2,15,2,2,6,2,2,0,4,5,0,0,0,0,0,0,52,11.006386168093801
Graduation,Married,92955,0,0,35,693,21,925,31,24,84,1,6,7,9,2,0,0,1,1,0,0,52,11.720979896917802
Graduation,Divorced,64587,1,1,49,66,0,16,0,6,20,2,1,1,4,3,0,0,0,0,0,0,71,10.88044244577233
Graduation,Single,34824,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,30,11.121378262387317
Graduation,Married,19514,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,57,11.28291477579964
Master,Together,34053,0,1,14,63,0,21,7,0,12,1,3,0,3,8,0,0,0,0,0,0,57,12.660082000314858
Master,Married,38196,1,1,20,30,0,11,0,0,3,3,2,0,4,5,0,0,0,0,0,0,54,11.058406401226582
Master,Married,59412,0,0,56,90,67,165,30,43,11,1,4,2,8,3,0,0,0,0,0,0,74,11.055668494219594
2n Cycle,Together,68316,0,1,54,806,80,161,120,11,33,5,10,7,10,6,0,0,0,0,0,0,61,12.509497114930491
2n Cycle,Married,70924,0,0,41,635,114,254,132,152,76,1,6,6,7,3,0,0,1,0,0,0,60,11.088523378303456
Master,Married,27100,1,0,64,12,0,13,2,0,10,1,1,0,3,7,0,0,0,0,0,0,42,12.093335249868238
Master,Single,75345,0,0,16,918,57,842,99,38,133,1,5,8,6,3,0,0,0,1,0,0,55,12.263085484301525
2n Cycle,Married,65463,1,0,17,391,32,70,21,32,16,2,6,2,9,5,0,1,0,0,0,0,51,11.271963147771686
Graduation,Married,66480,1,1,71,199,9,57,20,21,6,7,4,1,7,4,0,0,0,0,0,0,60,10.940676399926076
Graduation,Single,86358,1,1,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,59,12.75043293154548
Graduation,Together,46931,2,1,94,41,0,17,3,1,16,2,1,1,3,3,0,0,0,0,0,0,48,11.041978959184652
Basic,Single,16581,0,0,51,1,3,4,2,3,11,1,0,0,3,4,0,0,0,0,0,0,40,12.320581531448285
Master,Divorced,10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,36,10.965317562988973
PhD,Married,57744,0,1,91,350,3,39,0,0,19,2,9,1,4,8,0,0,0,0,0,0,71,11.488257801323778
Graduation,Single,26576,1,0,40,10,0,8,0,0,9,1,1,0,2,9,1,0,0,0,0,0,39,12.569731069084238
Graduation,Together,80685,0,0,55,241,45,604,34,26,54,1,6,4,10,2,0,0,0,0,0,0,31,12.712102233447641
Graduation,Single,81657,0,0,69,364,40,425,158,60,50,1,3,4,8,1,0,0,0,0,0,0,56,11.293866403827595
Basic,Married,14421,0,0,81,0,0,2,3,3,8,1,1,0,2,5,1,0,0,0,0,0,29,11.222680821645893
Master,Married,47353,0,1,93,184,2,19,8,8,4,3,2,2,6,5,0,0,0,0,0,0,65,11.48551989431679
Master,Married,33444,1,1,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,73,12.51223502193748
Graduation,Divorced,58401,0,1,55,10,0,11,17,29,29,1,1,2,2,4,0,0,0,0,0,0,65,11.052930587212606
PhD,Single,61284,0,0,76,618,15,106,20,7,45,1,11,2,8,6,0,1,0,0,0,0,70,11.573132918540422
PhD,Together,37395,1,0,47,18,0,9,0,1,11,1,1,0,3,6,0,0,0,0,0,0,49,11.020075703128743
Graduation,Married,28691,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,36,11.846923619239272
Basic,Single,7500,1,0,63,10,17,18,8,26,40,4,3,2,2,9,0,0,0,0,0,0,33,12.430097811727824
Graduation,Together,40521,1,1,82,12,0,5,0,0,4,1,0,1,2,5,0,0,0,0,0,0,57,12.093335249868238
Master,Together,73450,0,0,85,1142,51,415,90,69,37,1,7,8,11,3,1,0,0,1,0,0,43,11.425285940163043
Graduation,Divorced,83829,0,0,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,50,11.584084546568375
Master,Together,46692,0,1,37,170,6,97,24,12,88,3,6,1,5,6,0,0,0,0,0,0,67,11.92358501543495
Graduation,Single,90842,0,0,57,774,70,118,182,187,93,1,4,9,13,1,0,0,0,0,0,0,77,11.77847594406456
Master,Married,43263,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,48,12.462952695811687
Basic,Single,24367,1,0,58,2,4,2,0,11,5,1,1,0,2,9,0,0,0,0,0,0,43,12.137141761980054
Graduation,Single,33249,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,50,12.213803158175732
Graduation,Together,18227,1,0,21,1,2,7,4,3,11,1,0,1,2,8,0,0,0,0,0,0,38,12.498545486902538
Master,Single,33316,1,1,34,79,1,31,4,4,12,3,2,1,4,6,0,0,0,0,0,0,54,11.59503617459633
Basic,Married,17256,1,0,10,6,4,14,8,8,22,2,2,1,2,8,1,0,0,0,0,0,33,11.458140824246904
Graduation,Divorced,53034,1,1,30,160,15,196,15,11,50,8,6,1,7,8,0,0,0,0,0,0,51,11.94275036448387
2n Cycle,Divorced,59601,0,1,14,691,7,69,0,7,23,4,2,2,7,8,0,1,0,0,0,0,48,11.789427572092514
Master,Divorced,46390,0,1,56,95,14,64,2,9,38,1,4,2,3,7,0,0,0,0,0,0,70,11.011861982107778
Graduation,Married,20895,1,0,24,18,3,17,3,0,4,1,2,0,3,9,0,0,0,0,0,0,52,12.588896418133158
Master,Divorced,63841,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,57,12.049528737756422
Graduation,Married,65685,0,1,54,642,14,49,0,7,57,1,9,2,9,5,0,0,0,0,0,0,53,11.113164541366352
Graduation,Married,37716,0,1,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,72,11.050192680205617
Graduation,Married,57045,0,1,40,296,13,104,11,13,17,3,4,2,9,3,0,0,0,0,0,0,75,12.665557814328837
PhD,Divorced,36957,1,1,43,100,2,16,2,1,31,4,3,2,2,9,0,0,0,0,0,0,72,12.671033628342814
2n Cycle,Single,65704,0,0,18,279,172,74,38,8,246,1,2,10,10,1,0,0,0,0,0,0,53,11.570395011533433
Graduation,Married,42523,0,0,96,14,36,11,3,26,35,1,1,1,4,2,0,0,0,0,0,0,61,11.04471686619164
2n Cycle,Together,69401,0,1,41,399,27,159,58,8,39,4,4,4,5,2,0,0,0,0,0,0,52,11.129591983408284
PhD,Together,32727,0,0,38,167,13,180,86,13,70,2,7,3,5,8,0,0,0,0,0,0,60,12.69567479140571
Graduation,Together,68695,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,56,10.872228724751364
PhD,Together,46015,1,1,25,38,0,2,0,0,6,1,1,0,3,7,1,0,0,0,1,0,70,11.072095936261524
Graduation,Together,16531,1,0,43,2,13,6,7,5,11,3,3,0,3,7,0,0,0,0,0,0,47,10.891394073800283
Graduation,Single,34704,0,1,65,29,0,5,0,1,5,1,1,0,3,5,0,0,0,0,0,0,59,12.033101295714491
2n Cycle,Married,57036,0,1,33,1171,43,219,19,14,47,4,6,3,13,9,1,0,0,0,0,0,50,12.408194555671917
Master,Single,46098,1,1,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,50,12.723053861475595
2n Cycle,Married,23331,1,0,92,5,36,7,0,10,45,2,3,0,3,8,0,0,0,0,0,0,37,12.67650944235679
Master,Together,74881,1,1,48,505,72,270,36,27,54,4,9,2,12,5,0,0,0,0,0,0,64,12.169996646063916
Master,Divorced,57530,0,1,68,50,1,27,6,7,1,1,1,1,4,1,0,0,0,0,0,0,74,11.573132918540422
Graduation,Divorced,31859,1,0,77,3,1,3,8,0,5,1,1,0,2,7,0,0,0,0,0,0,49,11.901681759379043
Graduation,Married,42014,1,0,56,244,15,108,4,15,50,6,7,1,6,8,0,0,0,0,0,0,48,12.725791768482583
Master,Single,60482,0,1,81,255,43,134,37,14,24,1,7,2,7,7,0,0,0,0,0,0,49,12.290464554371411
Graduation,Divorced,81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,38,11.200777565589984
Graduation,Married,34968,1,0,11,158,6,45,8,2,2,7,3,2,5,7,0,0,0,0,0,0,45,12.079645714833296
Graduation,Together,44512,1,1,57,23,1,6,0,0,2,2,1,0,3,4,0,0,0,0,0,0,65,11.690862919840928
Graduation,Single,33955,1,0,92,100,2,128,23,7,10,4,5,1,5,8,0,0,0,0,0,0,50,11.748358966987686
Graduation,Single,50664,1,1,64,313,8,104,6,4,126,9,8,1,6,9,0,0,0,0,0,0,66,12.30962990342033
Master,Single,35544,1,0,77,30,5,23,4,1,4,1,2,0,3,7,0,0,0,0,0,0,47,11.170660588513112
Graduation,Together,86610,0,0,66,446,107,768,33,196,53,1,5,6,6,2,0,0,0,0,0,0,74,11.674435477798996
Graduation,Single,81217,0,0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,36,11.805855014134444
Graduation,Divorced,62335,0,1,87,243,131,217,85,6,26,2,3,3,13,2,0,0,0,0,0,0,73,11.96191571353279
PhD,Widow,82571,0,0,28,861,31,558,62,95,79,0,6,5,13,2,0,0,1,0,0,0,63,11.102212913338398
PhD,Single,38513,1,0,20,172,3,115,16,0,18,5,6,1,5,8,0,0,0,0,0,0,43,11.277438961785663
PhD,Married,42403,1,0,18,22,1,11,0,5,3,1,1,0,3,8,0,0,0,0,0,0,54,11.408858498121111
Graduation,Married,44989,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,51,12.654606186300882
2n Cycle,Divorced,13533,1,0,45,12,3,8,8,0,17,2,2,0,3,7,0,0,0,0,0,0,46,12.16452083204994
PhD,Single,42473,1,1,72,93,1,21,0,4,25,3,2,1,4,5,0,0,0,0,0,0,49,11.222680821645893
Graduation,Together,34600,1,1,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,0,54,12.350698508525157
Graduation,Married,49094,0,1,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,52,12.629965023237986
Graduation,Single,37070,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,59,12.137141761980054
PhD,Single,63159,0,0,74,965,34,586,89,86,37,1,3,5,8,3,1,0,0,0,0,0,51,12.506759207923503
Master,Married,79734,0,0,72,572,8,232,23,62,17,1,4,3,6,1,0,0,0,1,0,0,56,10.864015003730398
PhD,Together,21840,1,0,80,17,0,9,0,0,1,1,1,0,3,9,0,0,0,0,0,0,42,11.800379200120467
PhD,Married,70116,0,0,73,707,44,603,95,58,29,1,2,8,12,1,0,0,0,0,0,0,53,12.282250833350446
Graduation,Single,34738,1,0,51,3,2,10,3,0,2,1,1,0,3,6,0,0,0,0,0,0,41,10.995434540065848
PhD,Single,90933,0,0,90,1020,31,430,62,63,79,1,4,6,4,1,0,0,1,0,0,0,71,11.107688727352375
Graduation,Single,67384,0,1,32,957,40,175,158,53,107,2,7,8,5,5,0,1,0,0,0,0,55,12.493069672888561
Graduation,Married,18929,0,0,15,32,0,8,23,4,18,1,1,0,4,6,0,0,0,0,0,0,35,12.224754786203686
PhD,Single,36038,1,0,82,23,0,15,0,2,7,2,3,0,3,6,0,0,0,0,0,0,44,11.940012457476882
Graduation,Single,91249,0,0,84,1324,27,119,71,108,27,0,7,9,6,4,0,1,1,1,1,0,69,12.55056572003532
Graduation,Married,56939,0,1,19,256,34,103,90,29,49,2,3,3,10,3,0,0,0,0,0,0,49,11.638842686708147
2n Cycle,Married,32632,0,0,32,63,151,137,153,19,53,2,4,4,8,5,0,0,0,0,0,0,62,12.766860373587411
Graduation,Married,23477,1,0,39,38,15,54,3,8,29,3,3,0,4,8,0,0,0,0,0,0,39,11.548491755477524
Graduation,Married,58116,0,1,38,228,19,130,4,11,51,2,3,3,8,2,0,0,0,0,0,0,69,11.072095936261524
PhD,Divorced,28420,1,0,36,4,2,5,2,0,0,1,1,0,2,6,0,0,0,0,0,0,58,11.37326570703026
Graduation,Divorced,71964,0,0,81,587,51,932,180,34,86,1,5,6,5,3,0,0,0,0,0,0,67,11.970129434553755
Graduation,Single,39146,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,39,12.230230600217663
Graduation,Single,68281,0,0,31,995,112,417,42,48,41,1,2,9,13,5,0,0,0,0,0,0,67,12.75317083855247
Graduation,Married,36790,0,0,14,3,3,14,15,21,10,1,2,1,2,9,0,0,0,0,0,0,42,12.189161995112835
PhD,Married,71322,0,1,57,753,43,226,69,10,204,2,8,5,13,4,0,0,0,0,0,0,60,12.224754786203686
Graduation,Married,67225,0,1,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,70,11.449927103225939
Graduation,Single,60689,0,1,23,240,90,216,63,6,24,4,4,4,10,3,0,0,0,0,0,0,74,11.937274550469894
Graduation,Married,29009,1,0,19,6,6,15,10,5,2,2,2,0,3,6,0,0,0,0,0,0,44,11.441713382204973
Graduation,Married,25293,1,0,51,15,0,11,0,2,9,1,1,1,2,8,0,0,0,0,0,0,56,11.647056407729112
Graduation,Married,27803,1,0,40,8,26,46,38,9,49,2,3,0,4,8,0,0,0,0,0,0,52,12.701150605419686
Graduation,Married,79823,0,1,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,66,11.107688727352375
Master,Together,66476,0,1,80,742,28,152,25,9,57,2,6,8,10,4,0,0,0,0,0,0,56,11.428023847170032
Graduation,Married,61286,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,59,11.767524316036607
Graduation,Widow,40590,1,1,30,154,0,50,6,11,37,5,3,4,3,6,1,0,0,0,0,0,56,11.600511988610307
Graduation,Together,62994,1,0,74,224,12,48,4,12,12,1,6,2,4,6,0,0,0,0,0,0,45,11.181612216541065
2n Cycle,Widow,74859,0,0,63,570,73,614,133,102,73,1,6,5,11,3,0,0,0,1,0,0,76,11.931798736455915
Graduation,Divorced,72071,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,71,12.230230600217663
2n Cycle,Divorced,65706,0,0,77,918,10,129,13,0,129,1,11,3,12,7,0,1,1,0,1,0,55,11.863351061281204
Graduation,Married,42523,0,0,96,14,36,11,3,26,35,1,1,1,4,2,0,0,0,0,0,0,61,11.04471686619164
Basic,Single,26487,1,0,23,2,8,10,12,14,23,3,2,1,3,5,0,0,0,0,0,0,47,11.970129434553755
Master,Single,89616,0,0,36,671,47,655,145,111,15,1,7,5,12,2,0,0,0,0,0,0,42,12.20011362314079
Graduation,Married,27469,0,0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,78,12.766860373587411
2n Cycle,Single,80617,0,0,42,594,51,631,72,55,32,1,4,6,8,2,0,0,0,0,0,0,30,12.572468976091226
Graduation,Married,24434,2,0,9,3,2,8,20,0,17,2,2,1,2,7,0,0,0,0,0,0,53,10.976269191016927
PhD,Married,52869,1,1,40,84,3,61,2,1,21,3,3,1,4,7,0,0,0,0,0,0,71,12.564255255070261
